"Name","SamAccountName","Enabled","DistinguishedName"
"JAMIE_VELEZ","JAMIE_VELEZ","True","CN=JAMIE_VELEZ,OU=Groups,OU=FSR,OU=Tier 1,DC=corp,DC=lab"
"PERCY_MOSES","PERCY_MOSES","True","CN=PERCY_MOSES,OU=ITS,OU=Stage,DC=corp,DC=lab"
"ALONZO_WALSH","ALONZO_WALSH","True","CN=ALONZO_WALSH,OU=Test,OU=FIN,OU=Stage,DC=corp,DC=lab"
"ORVAL_RUSH","ORVAL_RUSH","True","CN=ORVAL_RUSH,OU=Devices,OU=GOO,OU=Tier 1,DC=corp,DC=lab"
"PAM_RATLIFF","PAM_RATLIFF","True","CN=PAM_RATLIFF,OU=Test,OU=SEC,OU=Stage,DC=corp,DC=lab"
"KENDRA_MARSH","KENDRA_MARSH","True","CN=KENDRA_MARSH,OU=Devices,OU=HRE,OU=Tier 2,DC=corp,DC=lab"
"ANTONY_GOODMAN","ANTONY_GOODMAN","True","CN=ANTONY_GOODMAN,OU=Domain Controllers,DC=corp,DC=lab"
"JARRETT_ALFORD","JARRETT_ALFORD","True","CN=JARRETT_ALFORD,OU=GOO,OU=People,DC=corp,DC=lab"
"ISAAC_BENNETT","ISAAC_BENNETT","True","CN=ISAAC_BENNETT,OU=Tier 2,DC=corp,DC=lab"
"ELSIE_BOWEN","ELSIE_BOWEN","True","CN=ELSIE_BOWEN,OU=Stage,DC=corp,DC=lab"
"JULES_ELLISON","JULES_ELLISON","True","CN=JULES_ELLISON,OU=ServiceAccounts,OU=GOO,OU=Tier 1,DC=corp,DC=lab"
"COREY_ROWLAND","COREY_ROWLAND","True","CN=COREY_ROWLAND,OU=Devices,OU=ESM,OU=Stage,DC=corp,DC=lab"
"LUPE_DAY","LUPE_DAY","True","CN=LUPE_DAY,OU=Groups,OU=AZR,OU=Stage,DC=corp,DC=lab"
"NANETTE_MORGAN","NANETTE_MORGAN","True","CN=NANETTE_MORGAN,OU=Devices,OU=SEC,OU=Stage,DC=corp,DC=lab"
"ANGELA_JACKSON","ANGELA_JACKSON","True","CN=ANGELA_JACKSON,OU=Tier 1,DC=corp,DC=lab"
"CLARA_MALONE","CLARA_MALONE","True","CN=CLARA_MALONE,OU=ServiceAccounts,OU=FSR,OU=Stage,DC=corp,DC=lab"
"CELESTE_CANTRELL","CELESTE_CANTRELL","True","CN=CELESTE_CANTRELL,OU=Test,OU=AWS,OU=Stage,DC=corp,DC=lab"
"STACY_TAYLOR","STACY_TAYLOR","True","CN=STACY_TAYLOR,OU=ServiceAccounts,OU=TST,OU=Stage,DC=corp,DC=lab"
"GORDON_FINCH","GORDON_FINCH","True","CN=GORDON_FINCH,OU=TST,OU=Tier 1,DC=corp,DC=lab"
"JULIAN_CAREY","JULIAN_CAREY","True","CN=JULIAN_CAREY,OU=Groups,OU=OGC,OU=Tier 2,DC=corp,DC=lab"
"NORMAN_JIMENEZ","NORMAN_JIMENEZ","True","CN=NORMAN_JIMENEZ,OU=T1-Permissions,OU=Tier 1,OU=Admin,DC=corp,DC=lab"
"TESSA_CARSON","TESSA_CARSON","True","CN=TESSA_CARSON,OU=FIN,OU=People,DC=corp,DC=lab"
"ELTON_SCHROEDER","ELTON_SCHROEDER","True","CN=ELTON_SCHROEDER,OU=IT,DC=corp,DC=lab"
"BRITTANY_CABRERA","BRITTANY_CABRERA","True","CN=BRITTANY_CABRERA,OU=ServiceAccounts,OU=OGC,OU=Stage,DC=corp,DC=lab"
"ANNABELLE_COLEMAN","ANNABELLE_COLEMAN","True","CN=ANNABELLE_COLEMAN,OU=Test,OU=ESM,OU=Tier 2,DC=corp,DC=lab"
"SIDNEY_YORK","SIDNEY_YORK","True","CN=SIDNEY_YORK,OU=Devices,OU=ITS,OU=Tier 1,DC=corp,DC=lab"
"MORRIS_MURRAY","MORRIS_MURRAY","True","CN=MORRIS_MURRAY,OU=BDE,OU=Tier 1,DC=corp,DC=lab"
"LAWANDA_HOGAN","LAWANDA_HOGAN","True","CN=LAWANDA_HOGAN,OU=GOO,OU=Stage,DC=corp,DC=lab"
"CHRIS_PAYNE","CHRIS_PAYNE","True","CN=CHRIS_PAYNE,OU=Devices,OU=AZR,OU=Tier 1,DC=corp,DC=lab"
"BEATRICE_HURST","BEATRICE_HURST","True","CN=BEATRICE_HURST,OU=Devices,OU=ESM,OU=Tier 2,DC=corp,DC=lab"
"FELIX_PEARSON","FELIX_PEARSON","True","CN=FELIX_PEARSON,OU=FIN,OU=People,DC=corp,DC=lab"
"ADRIAN_CERVANTES","ADRIAN_CERVANTES","True","CN=ADRIAN_CERVANTES,OU=ServiceAccounts,OU=HRE,OU=Stage,DC=corp,DC=lab"
"SHANNA_COOKE","SHANNA_COOKE","True","CN=SHANNA_COOKE,OU=Devices,OU=BDE,OU=Tier 2,DC=corp,DC=lab"
"NEVA_CASH","NEVA_CASH","True","CN=NEVA_CASH,OU=HR,DC=corp,DC=lab"
"NOLAN_SOLIS","NOLAN_SOLIS","True","CN=NOLAN_SOLIS,OU=Test,OU=HRE,OU=Tier 2,DC=corp,DC=lab"
"LATONYA_DONALDSON","LATONYA_DONALDSON","True","CN=LATONYA_DONALDSON,OU=ServiceAccounts,OU=OGC,OU=Stage,DC=corp,DC=lab"
"MARCOS_WILSON","MARCOS_WILSON","True","CN=MARCOS_WILSON,OU=Stage,DC=corp,DC=lab"
"DENNIS_BRADY","DENNIS_BRADY","True","CN=DENNIS_BRADY,OU=Groups,OU=OGC,OU=Stage,DC=corp,DC=lab"
"CHRYSTAL_HOPKINS","CHRYSTAL_HOPKINS","True","CN=CHRYSTAL_HOPKINS,OU=T2-Accounts,OU=Tier 2,OU=Admin,DC=corp,DC=lab"
"MARCUS_STOKES","MARCUS_STOKES","True","CN=MARCUS_STOKES,OU=T1-Roles,OU=Tier 1,OU=Admin,DC=corp,DC=lab"
"MAVIS_CHRISTENSEN","MAVIS_CHRISTENSEN","True","CN=MAVIS_CHRISTENSEN,OU=SEC,OU=People,DC=corp,DC=lab"
"JESUS_WITT","JESUS_WITT","True","CN=JESUS_WITT,OU=ServiceAccounts,OU=TST,OU=Tier 1,DC=corp,DC=lab"
"IRWIN_KEY","IRWIN_KEY","True","CN=IRWIN_KEY,OU=Devices,OU=ESM,OU=Tier 2,DC=corp,DC=lab"
"MAC_RHODES","MAC_RHODES","True","CN=MAC_RHODES,OU=Test,OU=FIN,OU=Tier 2,DC=corp,DC=lab"
"BERT_HOGAN","BERT_HOGAN","True","CN=BERT_HOGAN,OU=Test,OU=SEC,OU=Tier 1,DC=corp,DC=lab"
"SIMON_HANEY","SIMON_HANEY","True","CN=SIMON_HANEY,OU=Test,OU=ESM,OU=Tier 1,DC=corp,DC=lab"
"LAVONNE_HERRING","LAVONNE_HERRING","True","CN=LAVONNE_HERRING,OU=Groups,OU=ESM,OU=Stage,DC=corp,DC=lab"
"ALTON_ODONNELL","ALTON_ODONNELL","True","CN=ALTON_ODONNELL,OU=Devices,OU=HRE,OU=Tier 2,DC=corp,DC=lab"
"VICKIE_CASTILLO","VICKIE_CASTILLO","True","CN=VICKIE_CASTILLO,OU=GOO,OU=People,DC=corp,DC=lab"
"MELVA_HERMAN","MELVA_HERMAN","True","CN=MELVA_HERMAN,OU=Groups,OU=SEC,OU=Stage,DC=corp,DC=lab"
"VIVIAN_BALLARD","VIVIAN_BALLARD","True","CN=VIVIAN_BALLARD,OU=T1-Accounts,OU=Tier 1,OU=Admin,DC=corp,DC=lab"
"7889592565SA","7889592565SA","True","CN=7889592565SA,OU=Test,OU=ITS,OU=Tier 1,DC=corp,DC=lab"
"CATHLEEN_MCKENZIE","CATHLEEN_MCKENZIE","True","CN=CATHLEEN_MCKENZIE,OU=ServiceAccounts,OU=FSR,OU=Tier 2,DC=corp,DC=lab"
"ALVARO_TANNER","ALVARO_TANNER","True","CN=ALVARO_TANNER,OU=Devices,OU=FIN,OU=Tier 2,DC=corp,DC=lab"
"ELVIA_FRANCO","ELVIA_FRANCO","True","CN=ELVIA_FRANCO,OU=Groups,OU=FIN,OU=Stage,DC=corp,DC=lab"
"RUDOLPH_BURTON","RUDOLPH_BURTON","True","CN=RUDOLPH_BURTON,OU=Groups,OU=SEC,OU=Stage,DC=corp,DC=lab"
"LILLIE_KAUFMAN","LILLIE_KAUFMAN","True","CN=LILLIE_KAUFMAN,OU=ServiceAccounts,OU=OGC,OU=Tier 2,DC=corp,DC=lab"
"REGGIE_YOUNG","REGGIE_YOUNG","True","CN=REGGIE_YOUNG,OU=T0-Servers,OU=Tier 0,OU=Admin,DC=corp,DC=lab"
"CHRYSTAL_SANDERS","CHRYSTAL_SANDERS","True","CN=CHRYSTAL_SANDERS,OU=ServiceAccounts,OU=BDE,OU=Tier 1,DC=corp,DC=lab"
"RICHIE_MATHIS","RICHIE_MATHIS","True","CN=RICHIE_MATHIS,OU=GOO,OU=People,DC=corp,DC=lab"
"JAN_WHITEHEAD","JAN_WHITEHEAD","True","CN=JAN_WHITEHEAD,OU=HRE,OU=Tier 2,DC=corp,DC=lab"
"RAQUEL_NEAL","RAQUEL_NEAL","True","CN=RAQUEL_NEAL,OU=T0-Roles,OU=Tier 0,OU=Admin,DC=corp,DC=lab"
"OLIVIA_CERVANTES","OLIVIA_CERVANTES","True","CN=OLIVIA_CERVANTES,OU=Tier 1,DC=corp,DC=lab"
"SYLVESTER_NASH","SYLVESTER_NASH","True","CN=SYLVESTER_NASH,OU=Devices,OU=FSR,OU=Tier 1,DC=corp,DC=lab"
"MYRA_PUGH","MYRA_PUGH","True","CN=MYRA_PUGH,OU=ServiceAccounts,OU=ITS,OU=Tier 1,DC=corp,DC=lab"
"SOPHIA_CRUZ","SOPHIA_CRUZ","True","CN=SOPHIA_CRUZ,OU=ITS,OU=People,DC=corp,DC=lab"
"JOHN_SNIDER","JOHN_SNIDER","True","CN=JOHN_SNIDER,OU=ServiceAccounts,OU=OGC,OU=Tier 2,DC=corp,DC=lab"
"MONIQUE_CROSS","MONIQUE_CROSS","True","CN=MONIQUE_CROSS,OU=Test,OU=FIN,OU=Stage,DC=corp,DC=lab"
"HARRISON_PAGE","HARRISON_PAGE","True","CN=HARRISON_PAGE,OU=Devices,OU=ESM,OU=Tier 1,DC=corp,DC=lab"
"HARVEY_LARSEN","HARVEY_LARSEN","True","CN=HARVEY_LARSEN,OU=Devices,OU=OGC,OU=Tier 1,DC=corp,DC=lab"
"HARLEY_KNOWLES","HARLEY_KNOWLES","True","CN=HARLEY_KNOWLES,OU=Groups,OU=GOO,OU=Tier 1,DC=corp,DC=lab"
"LELA_SAWYER","LELA_SAWYER","True","CN=LELA_SAWYER,OU=Groups,OU=ESM,OU=Tier 1,DC=corp,DC=lab"
"BRANDIE_MCFADDEN","BRANDIE_MCFADDEN","True","CN=BRANDIE_MCFADDEN,OU=Test,OU=ESM,OU=Stage,DC=corp,DC=lab"
"JULIETTE_BLAKE","JULIETTE_BLAKE","True","CN=JULIETTE_BLAKE,OU=Test,OU=GOO,OU=Tier 2,DC=corp,DC=lab"
"DARRIN_BURRIS","DARRIN_BURRIS","True","CN=DARRIN_BURRIS,OU=AZR,OU=Tier 1,DC=corp,DC=lab"
"JENNIE_MCGUIRE","JENNIE_MCGUIRE","True","CN=JENNIE_MCGUIRE,OU=ServiceAccounts,OU=GOO,OU=Tier 1,DC=corp,DC=lab"
"OLGA_BYRD","OLGA_BYRD","True","CN=OLGA_BYRD,OU=Test,OU=FIN,OU=Tier 2,DC=corp,DC=lab"
"COLEEN_MERCADO","COLEEN_MERCADO","True","CN=COLEEN_MERCADO,OU=Groups,OU=AWS,OU=Tier 2,DC=corp,DC=lab"
"WINSTON_MORTON","WINSTON_MORTON","True","CN=WINSTON_MORTON,OU=ServiceAccounts,OU=BDE,OU=Stage,DC=corp,DC=lab"
"GAVIN_CAMPOS","GAVIN_CAMPOS","True","CN=GAVIN_CAMPOS,OU=ServiceAccounts,OU=AWS,OU=Tier 2,DC=corp,DC=lab"
"LORA_PATEL","LORA_PATEL","True","CN=LORA_PATEL,OU=Devices,OU=OGC,OU=Tier 1,DC=corp,DC=lab"
"MAYRA_FIGUEROA","MAYRA_FIGUEROA","True","CN=MAYRA_FIGUEROA,OU=Groups,OU=SEC,OU=Stage,DC=corp,DC=lab"
"NOLAN_PATTON","NOLAN_PATTON","True","CN=NOLAN_PATTON,OU=T0-Devices,OU=Tier 0,OU=Admin,DC=corp,DC=lab"
"LIZ_LOVE","LIZ_LOVE","True","CN=LIZ_LOVE,OU=Groups,OU=TST,OU=Tier 1,DC=corp,DC=lab"
"ELSA_BAUER","ELSA_BAUER","True","CN=ELSA_BAUER,OU=Test,OU=BDE,OU=Tier 2,DC=corp,DC=lab"
"CLEVELAND_OCONNOR","CLEVELAND_OCONNOR","True","CN=CLEVELAND_OCONNOR,OU=Test,OU=SEC,OU=Tier 2,DC=corp,DC=lab"
"SPENCER_CABRERA","SPENCER_CABRERA","True","CN=SPENCER_CABRERA,OU=Domain Controllers,DC=corp,DC=lab"
"TAMI_WALLACE","TAMI_WALLACE","True","CN=TAMI_WALLACE,OU=Groups,OU=AWS,OU=Tier 2,DC=corp,DC=lab"
"DAWN_CABRERA","DAWN_CABRERA","True","CN=DAWN_CABRERA,OU=GOO,OU=Stage,DC=corp,DC=lab"
"WILMA_FLOWERS","WILMA_FLOWERS","True","CN=WILMA_FLOWERS,OU=Domain Controllers,DC=corp,DC=lab"
"MELANIE_COLE","MELANIE_COLE","True","CN=MELANIE_COLE,OU=Groups,OU=GOO,OU=Tier 1,DC=corp,DC=lab"
"MILLIE_MCCONNELL","MILLIE_MCCONNELL","True","CN=MILLIE_MCCONNELL,OU=Test,OU=SEC,OU=Tier 2,DC=corp,DC=lab"
"JANET_ASHLEY","JANET_ASHLEY","True","CN=JANET_ASHLEY,OU=Tier 1,DC=corp,DC=lab"
"ULYSSES_MAYS","ULYSSES_MAYS","True","CN=ULYSSES_MAYS,OU=ServiceAccounts,OU=OGC,OU=Tier 1,DC=corp,DC=lab"
"BRANDON_KIRKLAND","BRANDON_KIRKLAND","True","CN=BRANDON_KIRKLAND,OU=Test,OU=ESM,OU=Stage,DC=corp,DC=lab"
"FLORENCE_DELACRUZ","FLORENCE_DELACRUZ","True","CN=FLORENCE_DELACRUZ,OU=Devices,OU=ITS,OU=Tier 1,DC=corp,DC=lab"
"DALLAS_WONG","DALLAS_WONG","True","CN=DALLAS_WONG,OU=ServiceAccounts,OU=GOO,OU=Tier 2,DC=corp,DC=lab"
"TAYLOR_HOLCOMB","TAYLOR_HOLCOMB","True","CN=TAYLOR_HOLCOMB,OU=Groups,OU=FIN,OU=Tier 1,DC=corp,DC=lab"
"CEDRIC_HENDRIX","CEDRIC_HENDRIX","True","CN=CEDRIC_HENDRIX,OU=ServiceAccounts,OU=AZR,OU=Tier 1,DC=corp,DC=lab"
"SHANNON_ROJAS","SHANNON_ROJAS","True","CN=SHANNON_ROJAS,OU=Staging,OU=Admin,DC=corp,DC=lab"
"JERMAINE_RUSH","JERMAINE_RUSH","True","CN=JERMAINE_RUSH,OU=T1-Servers,OU=Tier 1,OU=Admin,DC=corp,DC=lab"
"JANET_HIGGINS","JANET_HIGGINS","True","CN=JANET_HIGGINS,OU=Devices,OU=FSR,OU=Stage,DC=corp,DC=lab"
"MEGAN_SOSA","MEGAN_SOSA","True","CN=MEGAN_SOSA,OU=Test,OU=ITS,OU=Tier 2,DC=corp,DC=lab"
"TABATHA_ODONNELL","TABATHA_ODONNELL","True","CN=TABATHA_ODONNELL,OU=OGC,OU=People,DC=corp,DC=lab"
"ALVARO_HIGGINS","ALVARO_HIGGINS","True","CN=ALVARO_HIGGINS,OU=ServiceAccounts,OU=HRE,OU=Tier 2,DC=corp,DC=lab"
"2939629453SA","2939629453SA","True","CN=2939629453SA,OU=ServiceAccounts,OU=OGC,OU=Tier 2,DC=corp,DC=lab"
"JAN_ANDREWS","JAN_ANDREWS","True","CN=JAN_ANDREWS,OU=Groups,OU=HRE,OU=Tier 1,DC=corp,DC=lab"
"AMELIA_GIBSON","AMELIA_GIBSON","True","CN=AMELIA_GIBSON,OU=Deprovisioned,OU=People,DC=corp,DC=lab"
"5967443651SA","5967443651SA","True","CN=5967443651SA,OU=Devices,OU=GOO,OU=Tier 1,DC=corp,DC=lab"
"RAMONA_LOGAN","RAMONA_LOGAN","True","CN=RAMONA_LOGAN,OU=T0-Accounts,OU=Tier 0,OU=Admin,DC=corp,DC=lab"
"TAD_STOUT","TAD_STOUT","True","CN=TAD_STOUT,OU=Test,OU=HRE,OU=Tier 2,DC=corp,DC=lab"
"JEFFREY_GARRETT","JEFFREY_GARRETT","True","CN=JEFFREY_GARRETT,OU=Devices,OU=ITS,OU=Stage,DC=corp,DC=lab"
"SABRINA_HARRISON","SABRINA_HARRISON","True","CN=SABRINA_HARRISON,OU=Groups,OU=HRE,OU=Stage,DC=corp,DC=lab"
"ERNESTO_REESE","ERNESTO_REESE","True","CN=ERNESTO_REESE,OU=Groups,OU=FSR,OU=Stage,DC=corp,DC=lab"
"ELISE_CERVANTES","ELISE_CERVANTES","True","CN=ELISE_CERVANTES,OU=Devices,OU=ITS,OU=Stage,DC=corp,DC=lab"
"BRIANNA_SAMPSON","BRIANNA_SAMPSON","True","CN=BRIANNA_SAMPSON,OU=ServiceAccounts,OU=FSR,OU=Tier 2,DC=corp,DC=lab"
"MARTHA_TYSON","MARTHA_TYSON","True","CN=MARTHA_TYSON,OU=Groups,OU=HRE,OU=Stage,DC=corp,DC=lab"
"SUSANNE_GLOVER","SUSANNE_GLOVER","True","CN=SUSANNE_GLOVER,OU=Test,OU=BDE,OU=Tier 2,DC=corp,DC=lab"
"JACQUELINE_LESTER","JACQUELINE_LESTER","True","CN=JACQUELINE_LESTER,OU=Stage,DC=corp,DC=lab"
"EFFIE_COOK","EFFIE_COOK","True","CN=EFFIE_COOK,OU=Groups,OU=ITS,OU=Stage,DC=corp,DC=lab"
"ERICKA_PETERSEN","ERICKA_PETERSEN","True","CN=ERICKA_PETERSEN,OU=Groups,OU=ITS,OU=Tier 2,DC=corp,DC=lab"
"JULIO_FITZPATRICK","JULIO_FITZPATRICK","True","CN=JULIO_FITZPATRICK,OU=Groups,OU=OGC,OU=Stage,DC=corp,DC=lab"
"DOROTHEA_HAMMOND","DOROTHEA_HAMMOND","True","CN=DOROTHEA_HAMMOND,OU=Devices,OU=SEC,OU=Tier 2,DC=corp,DC=lab"
"TEDDY_SANTANA","TEDDY_SANTANA","True","CN=TEDDY_SANTANA,OU=Devices,OU=AWS,OU=Tier 2,DC=corp,DC=lab"
"TAMMIE_MAYS","TAMMIE_MAYS","True","CN=TAMMIE_MAYS,OU=Devices,OU=TST,OU=Tier 2,DC=corp,DC=lab"
"MAUREEN_SANDERS","MAUREEN_SANDERS","True","CN=MAUREEN_SANDERS,OU=Groups,OU=FSR,OU=Tier 2,DC=corp,DC=lab"
"HOUSTON_LEVY","HOUSTON_LEVY","True","CN=HOUSTON_LEVY,OU=Groups,OU=SEC,OU=Tier 2,DC=corp,DC=lab"
"ISMAEL_FRAZIER","ISMAEL_FRAZIER","True","CN=ISMAEL_FRAZIER,OU=T2-Accounts,OU=Tier 2,OU=Admin,DC=corp,DC=lab"
"JOSHUA_WOLF","JOSHUA_WOLF","True","CN=JOSHUA_WOLF,OU=Stage,DC=corp,DC=lab"
"NEIL_CALDERON","NEIL_CALDERON","True","CN=NEIL_CALDERON,OU=Test,OU=HRE,OU=Tier 1,DC=corp,DC=lab"
"ERNESTO_VAUGHAN","ERNESTO_VAUGHAN","True","CN=ERNESTO_VAUGHAN,OU=AZR,OU=Tier 2,DC=corp,DC=lab"
"VIRGINIA_HEATH","VIRGINIA_HEATH","True","CN=VIRGINIA_HEATH,OU=Test,OU=HRE,OU=Tier 1,DC=corp,DC=lab"
"NATALIA_THOMAS","NATALIA_THOMAS","True","CN=NATALIA_THOMAS,OU=Test,OU=TST,OU=Stage,DC=corp,DC=lab"
"FERNANDO_ADAMS","FERNANDO_ADAMS","True","CN=FERNANDO_ADAMS,OU=Devices,OU=FIN,OU=Tier 2,DC=corp,DC=lab"
